,state,fips,cases,deaths,employed-sugar-intake-daily
274,California,6,909345,17358,22.9
275,California,6,913707,17398,22.9
276,California,6,918635,17478,22.9
277,California,6,922685,17541,22.9
278,California,6,926910,17567,22.9
279,California,6,931843,17627,22.9
280,California,6,935262,17661,22.9
281,California,6,938897,17671,22.9
282,California,6,944148,17700,22.9
283,California,6,949390,17751,22.9
284,California,6,954629,17818,22.9
285,California,6,960905,17866,22.9
286,California,6,967618,17939,22.9
287,California,6,972821,17964,22.9
288,California,6,978861,17975,22.9
289,California,6,985623,18035,22.9
290,California,6,994366,18073,22.9
291,California,6,999516,18109,22.9
292,California,6,1009216,18141,22.9
293,California,6,1019080,18218,22.9
294,California,6,1027044,18254,22.9
295,California,6,1036008,18265,22.9
296,California,6,1047390,18304,22.9
297,California,6,1058123,18360,22.9
298,California,6,1069544,18467,22.9
299,California,6,1082705,18555,22.9
300,California,6,1096427,18649,22.9
301,California,6,1109869,18709,22.9
302,California,6,1118673,18726,22.9
303,California,6,1136498,18768,22.9
304,California,6,1153032,18875,22.9
305,California,6,1167176,18982,22.9
306,California,6,1176159,19025,22.9
307,California,6,1193089,19100,22.9
308,California,6,1206296,19132,22.9
309,California,6,1219511,19151,22.9
310,California,6,1237238,19209,22.9
311,California,6,1253905,19327,22.9
312,California,6,1272079,19440,22.9
313,California,6,1293937,19586,22.9
314,California,6,1318188,19791,22.9
315,California,6,1343193,19876,22.9
316,California,6,1371985,19937,22.9
317,California,6,1399239,20052,22.9
318,California,6,1425501,20238,22.9
319,California,6,1457273,20466,22.9
320,California,6,1491132,20636,22.9
321,California,6,1528237,20854,22.9
322,California,6,1554920,20958,22.9
323,California,6,1590726,21043,22.9
324,California,6,1620916,21196,22.9
325,California,6,1655166,21483,22.9
326,California,6,1716108,21881,22.9
327,California,6,1761430,22155,22.9
328,California,6,1809673,22496,22.9
329,California,6,1847031,22651,22.9
330,California,6,1889914,22736,22.9
331,California,6,1933169,22980,22.9
332,California,6,1968541,23254,22.9
